H,TWI,Aspect,Hillshade,Roughness,Slope,Temperature_merra_1000hpa,T_rp5,Time,DayOfYear,X,Y
110,6.57,0.0,184,2,0.46,302.29,29.9,1080,207,50.8,42.0
110,6.57,0.0,184,2,0.46,305.92,30.0,720,207,50.8,42.0
110,6.57,0.0,184,2,0.46,303.36,19.9,360,208,50.8,42.0
110,6.57,0.0,184,2,0.46,297.71,21.5,0,208,50.8,42.0
110,6.57,0.0,184,2,0.46,308.46,32.1,720,208,50.8,42.0
110,6.57,0.0,184,2,0.46,303.76,32.9,1080,208,50.8,42.0
110,6.57,0.0,184,2,0.46,310.28,31.9,720,209,50.8,42.0
110,6.57,0.0,184,2,0.46,304.5,20.4,360,209,50.8,42.0
110,6.57,0.0,184,2,0.46,304.5,33.0,1080,209,50.8,42.0
110,6.57,0.0,184,2,0.46,297.3,22.1,0,209,50.8,42.0
110,6.57,0.0,184,2,0.46,297.3,21.3,1080,210,50.8,42.0
110,6.57,0.0,184,2,0.46,297.3,24.7,720,210,50.8,42.0
110,6.57,0.0,184,2,0.46,297.04,19.3,360,210,50.8,42.0
110,6.57,0.0,184,2,0.46,297.04,21.7,0,210,50.8,42.0
110,6.57,0.0,184,2,0.46,295.11,25.2,1080,211,50.8,42.0
110,6.57,0.0,184,2,0.46,300.24,24.9,720,211,50.8,42.0
110,6.57,0.0,184,2,0.46,294.72,16.3,360,211,50.8,42.0
110,6.57,0.0,184,2,0.46,292.31,16.7,0,211,50.8,42.0
110,6.57,0.0,184,2,0.46,293.31,17.0,0,212,50.8,42.0
110,6.57,0.0,184,2,0.46,297.61,16.1,360,212,50.8,42.0
110,6.57,0.0,184,2,0.46,298.78,27.4,1080,212,50.8,42.0
110,6.57,0.0,184,2,0.46,302.51,27.0,720,212,50.8,42.0
110,6.57,0.0,184,2,0.46,299.93,29.4,1080,213,50.8,42.0
110,6.57,0.0,184,2,0.46,299.93,16.6,360,213,50.8,42.0
110,6.57,0.0,184,2,0.46,294.21,15.7,0,213,50.8,42.0
110,6.57,0.0,184,2,0.46,304.59,28.5,720,213,50.8,42.0
110,6.57,0.0,184,2,0.46,293.46,18.2,0,214,50.8,42.0
110,6.57,0.0,184,2,0.46,298.08,18.6,360,214,50.8,42.0
110,6.57,0.0,184,2,0.46,305.84,26.7,720,214,50.8,42.0
110,6.57,0.0,184,2,0.46,300.4,26.2,1080,214,50.8,42.0
110,6.57,0.0,184,2,0.46,305.37,29.2,720,215,50.8,42.0
110,6.57,0.0,184,2,0.46,298.39,29.9,1080,215,50.8,42.0
110,6.57,0.0,184,2,0.46,299.62,20.1,360,215,50.8,42.0
110,6.57,0.0,184,2,0.46,295.65,21.3,0,215,50.8,42.0
110,6.57,0.0,184,2,0.46,296.1,19.0,0,216,50.8,42.0
110,6.57,0.0,184,2,0.46,302.22,18.5,360,216,50.8,42.0
110,6.57,0.0,184,2,0.46,308.17,31.1,720,216,50.8,42.0
110,6.57,0.0,184,2,0.46,302.83,31.3,1080,216,50.8,42.0
110,6.57,0.0,184,2,0.46,298.97,19.7,0,217,50.8,42.0
110,6.57,0.0,184,2,0.46,304.06,19.6,360,217,50.8,42.0
110,6.57,0.0,184,2,0.46,307.83,32.0,720,217,50.8,42.0
110,6.57,0.0,184,2,0.46,303.27,30.3,1080,217,50.8,42.0
110,6.57,0.0,184,2,0.46,301.87,32.4,1080,218,50.8,42.0
110,6.57,0.0,184,2,0.46,299.02,20.3,0,218,50.8,42.0
110,6.57,0.0,184,2,0.46,303.17,18.6,360,218,50.8,42.0
110,6.57,0.0,184,2,0.46,308.4,32.7,720,218,50.8,42.0
110,6.57,0.0,184,2,0.46,295.24,24.8,0,219,50.8,42.0
110,6.57,0.0,184,2,0.46,301.03,22.1,360,219,50.8,42.0
110,6.57,0.0,184,2,0.46,305.68,32.4,720,219,50.8,42.0
110,6.57,0.0,184,2,0.46,299.62,32.3,1080,219,50.8,42.0
110,6.57,0.0,184,2,0.46,301.43,30.6,1080,220,50.8,42.0
110,6.57,0.0,184,2,0.46,307.18,31.7,720,220,50.8,42.0
110,6.57,0.0,184,2,0.46,294.69,24.9,0,220,50.8,42.0
110,6.57,0.0,184,2,0.46,302.67,22.9,360,220,50.8,42.0
110,6.57,0.0,184,2,0.46,295.53,22.9,0,221,50.8,42.0
110,6.57,0.0,184,2,0.46,301.6,19.3,360,221,50.8,42.0
110,6.57,0.0,184,2,0.46,307.94,31.0,720,221,50.8,42.0
110,6.57,0.0,184,2,0.46,300.0,29.2,1080,221,50.8,42.0
110,6.57,0.0,184,2,0.46,300.87,29.7,1080,222,50.8,42.0
110,6.57,0.0,184,2,0.46,305.62,29.5,720,222,50.8,42.0
110,6.57,0.0,184,2,0.46,296.1,21.7,0,222,50.8,42.0
110,6.57,0.0,184,2,0.46,301.09,20.7,360,222,50.8,42.0
110,6.57,0.0,184,2,0.46,298.15,22.2,0,223,50.8,42.0
110,6.57,0.0,184,2,0.46,301.4,23.2,360,223,50.8,42.0
110,6.57,0.0,184,2,0.46,306.01,30.6,720,223,50.8,42.0
110,6.57,0.0,184,2,0.46,301.77,30.1,1080,223,50.8,42.0
110,6.57,0.0,184,2,0.46,298.25,25.6,0,224,50.8,42.0
110,6.57,0.0,184,2,0.46,301.98,19.9,360,224,50.8,42.0
110,6.57,0.0,184,2,0.46,306.77,25.4,720,224,50.8,42.0
110,6.57,0.0,184,2,0.46,302.22,31.2,1080,224,50.8,42.0
110,6.57,0.0,184,2,0.46,303.08,20.8,360,225,50.8,42.0
110,6.57,0.0,184,2,0.46,299.72,22.9,0,225,50.8,42.0
110,6.57,0.0,184,2,0.46,304.22,20.2,720,225,50.8,42.0
110,6.57,0.0,184,2,0.46,302.42,17.9,1080,225,50.8,42.0
110,6.57,0.0,184,2,0.46,300.35,14.3,360,226,50.8,42.0
110,6.57,0.0,184,2,0.46,306.55,26.6,720,226,50.8,42.0
110,6.57,0.0,184,2,0.46,299.79,26.5,1080,226,50.8,42.0
110,6.57,0.0,184,2,0.46,299.37,15.8,0,226,50.8,42.0
110,6.57,0.0,184,2,0.46,294.64,16.8,0,227,50.8,42.0
110,6.57,0.0,184,2,0.46,298.11,17.4,360,227,50.8,42.0
110,6.57,0.0,184,2,0.46,302.54,28.6,720,227,50.8,42.0
110,6.57,0.0,184,2,0.46,298.38,29.0,1080,227,50.8,42.0
110,6.57,0.0,184,2,0.46,297.1,27.0,1080,228,50.8,42.0
110,6.57,0.0,184,2,0.46,297.05,16.5,360,228,50.8,42.0
110,6.57,0.0,184,2,0.46,301.88,28.2,720,228,50.8,42.0
110,6.57,0.0,184,2,0.46,294.83,19.5,0,228,50.8,42.0
110,6.57,0.0,184,2,0.46,298.94,27.0,1080,229,50.8,42.0
110,6.57,0.0,184,2,0.46,293.0,17.3,0,229,50.8,42.0
110,6.57,0.0,184,2,0.46,300.93,26.2,720,229,50.8,42.0
110,6.57,0.0,184,2,0.46,295.64,15.7,360,229,50.8,42.0
110,6.57,0.0,184,2,0.46,300.67,17.8,360,230,50.8,42.0
110,6.57,0.0,184,2,0.46,300.53,31.2,1080,230,50.8,42.0
